country,code,year,hepatitisB_value
Thailand,THA,2002,1119.3
Thailand,THA,2003,1099.4
Thailand,THA,2004,1082.6
Thailand,THA,2005,1075.5
Thailand,THA,2006,1069.8
Thailand,THA,2007,1056.6
Thailand,THA,2008,1042.8
Thailand,THA,2009,1033.5
Thailand,THA,2010,1028.5
Thailand,THA,2011,1015.4
Thailand,THA,2012,991.2
Thailand,THA,2013,963.4
Thailand,THA,2014,938.8
Thailand,THA,2015,925.9
Thailand,THA,2016,914
Thailand,THA,2017,892.5
Thailand,THA,2018,869
Thailand,THA,2019,851.1
Egypt,EGY,2002,1168.2
Egypt,EGY,2003,1124.6
Egypt,EGY,2004,1088.7
Egypt,EGY,2005,1071
Egypt,EGY,2006,1063
Egypt,EGY,2007,1051.4
Egypt,EGY,2008,1039
Egypt,EGY,2009,1027.7
Egypt,EGY,2010,1018.9
Egypt,EGY,2011,995.3
Egypt,EGY,2012,949.4
Egypt,EGY,2013,895.8
Egypt,EGY,2014,847.7
Egypt,EGY,2015,817.3
Egypt,EGY,2016,788.3
Egypt,EGY,2017,746
Egypt,EGY,2018,702.9
Egypt,EGY,2019,670
Spain,ESP,2002,637
Spain,ESP,2003,623
Spain,ESP,2004,610.4
Spain,ESP,2005,603.6
Spain,ESP,2006,598
Spain,ESP,2007,588.7
Spain,ESP,2008,578.1
Spain,ESP,2009,568.6
Spain,ESP,2010,562.8
Spain,ESP,2011,554.7
Spain,ESP,2012,540.4
Spain,ESP,2013,524.2
Spain,ESP,2014,509.9
Spain,ESP,2015,501.8
Spain,ESP,2016,492.4
Spain,ESP,2017,476.8
Spain,ESP,2018,460.9
Spain,ESP,2019,450.6
Canada,CAN,2002,483
Canada,CAN,2003,473.9
Canada,CAN,2004,465.7
Canada,CAN,2005,460.1
Canada,CAN,2006,455.7
Canada,CAN,2007,450.4
Canada,CAN,2008,444.6
Canada,CAN,2009,439.2
Canada,CAN,2010,434.8
Canada,CAN,2011,429.7
Canada,CAN,2012,422.4
Canada,CAN,2013,414.2
Canada,CAN,2014,406.5
Canada,CAN,2015,400.7
Canada,CAN,2016,397.2
Canada,CAN,2017,394.5
Canada,CAN,2018,391.5
Canada,CAN,2019,386.9
Argentina,ARG,2002,194.6
Argentina,ARG,2003,192.4
Argentina,ARG,2004,190.3
Argentina,ARG,2005,188.9
Argentina,ARG,2006,187.3
Argentina,ARG,2007,184.8
Argentina,ARG,2008,182
Argentina,ARG,2009,179.5
Argentina,ARG,2010,177.8
Argentina,ARG,2011,176.1
Argentina,ARG,2012,173.5
Argentina,ARG,2013,170.7
Argentina,ARG,2014,168.2
Argentina,ARG,2015,166.8
Argentina,ARG,2016,167.4
Argentina,ARG,2017,169.7
Argentina,ARG,2018,172.3
Argentina,ARG,2019,173.8
